title,price,rating,brand,ram,storage,color,processor
"HP 15 (i5 14th Gen), Intel Core 5, 16GB RAM (Upgradeable), 512GB SSD, FHD, Anti-Glare, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office24, Silver,1.59kg, fd0682tu, FHD Camera w/Shutter, Backlit Laptop",75990.0,3.6,HP,16GB,512GB,Silver,Intel
"Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",49990.0,3.7,Acer,8GB,512GB,Silver,Amd
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",44999.0,4.0,Lenovo,8GB,512GB,Silver,Amd
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",65990.0,4.1,ASUS,16GB,512GB,Blue,Intel
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,3.4,HP,16GB,512GB,Silver,Snapdragon
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 512GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",39990.0,2.7,Acer,12GB,512GB,Silver,Intel
"Dell 15, Intel Core 13th Gen i5-1334U, FHD, 15.6""/39.62cm, Windows 11, MSO'24, Grey, 1.66kg, Vostro 3530, (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, 12 Month McAfee, Thin & Light Laptop",69990.0,3.8,Dell,16GB,512GB,Grey,Intel
"ASUS Vivobook 16,Smartchoice, 13th Gen, Intel Core i5-13420H,16GB RAM,512GB SSD,FHD, OLED,Win 11,M365 Basic (1Y),Backlit Keyboard,Office 2024,Silver,1.88 kg,X1605VA-SH1952WS, Thin & Light Laptop",67990.0,4.0,ASUS,16GB,512GB,Silver,Intel
"Acer Aspire One, Intel Core Celeron N4500, 8GB LPDDR4 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Intel UHD Graphics, Win 11 Home, Pure Silver, 1.3 Kg, A114-45, Thin and Light Laptop",35990.0,1.0,Acer,8GB,256GB,Silver,Intel
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Silver",73990.0,4.7,Apple,8GB,256GB,Silver,Unknown
"Acer Aspire Lite, AMD Ryzen 3-5400U, 8 GB RAM, 512 GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Premium Laptop",42990.0,4.2,Acer,Unknown,512GB,Gray,Amd
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",44990.0,4.1,Acer,8GB,256GB,Silver,Amd
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",35690.0,3.4,Acer,Unknown,256GB,Silver,Intel
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, 1.63Kg",57490.0,3.9,Dell,8GB,Unknown,Black,Intel
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office 2024, Black, 1.63Kg",62490.0,4.0,Dell,16GB,Unknown,Black,Intel
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",44990.0,4.2,HP,12GB,512GB,Silver,Intel
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100 GB Google One(1yr), Modern Gray,1.35kg, nm0004MU, HD Camera w/Shutter Laptop",29990.0,3.9,HP,4GB,Unknown,Gray,Mediatek
"HP 15 Laptop, AMD Ryzen 7 7730U (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,FHD Camera w/Privacy Shutter, Backlit KB, fc0761AU",69590.0,4.0,HP,16GB,512GB,Silver,Amd
𝗟𝗲𝗻𝗼𝘃𝗼_Model L490 Laptop| Core i5 8th Gen | 8GB Fast RAM | 512GB SSD | 14-inch HD Display Win 10| (Pre-Owned & Tested),25999.0,3.9,Unknown,8GB,512GB,Unknown,Unknown
"HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin & Light Business Laptop/15.6"" Display/Silver/Copilot Key/1.5kg/MSO 2024",51490.0,5.0,HP,Unknown,512GB,Silver,Intel
"HP Professional 15 (2026), Intel (i5 14th Gen) Core 5 120U - (8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home) Business Laptop/15.6"" FHD/Backlit + Fingerprint/Silver/Copilot Key/1.5kg/MSO 2024",61480.0,5.0,HP,Unknown,512GB,Silver,Intel
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",47990.0,3.8,Acer,8GB,512GB,Silver,Amd
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",49450.0,4.1,HP,8GB,512GB,Silver,Amd
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, Office 24, Blue, 2.29kg, fb3134/20ax, Xbox Gamepass*, Gaming Laptop",95990.0,4.1,HP,6GB,512GB,Blue,Amd
"Apple 2026 MacBook Pro Laptop with M5 Pro chip with 15‑core CPU and 16‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 2TB SSD Storage; Silver",342490.0,4.6,Apple,24GB,2048GB,Silver,Unknown
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Touch, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100GB Google One(1yr),Modern gray,1.35kg, nm0006MU, HD Camera w/shutter Laptop",32990.0,3.9,HP,4GB,Unknown,gray,Mediatek
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",42990.0,3.4,Acer,8GB,256GB,Silver,Amd
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 24GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",194990.0,4.8,Apple,24GB,1024GB,Unknown,Unknown
